Event,Team,Date,Time,Location,Description
Basketball Practice,PYTHONS,12/15/2012,11:00 AM,Salem Middle School,ZIPS / PYTHONS
Basketball Practice,JACKHAMMERS,12/15/2012,12:00 PM,Salem Middle School,JACKHAMMERS / BEARS
Basketball Practice,BEARS,12/15/2012,12:00 PM,Salem Middle School,JACKHAMMERS / BEARS
Basketball Practice,TIGERS,12/15/2012,1:00 PM,Salem Middle School,TIGERS / BUZZSAWS
Basketball Practice,BUZZSAWS,12/15/2012,1:00 PM,Salem Middle School,TIGERS / BUZZSAWS
Basketball Practice,THUNDERBOLTS,12/15/2012,2:00 PM,Salem Middle School,THUNDERBOLTS / YELLOW JACKETS
Basketball Practice,YELLOW JACKETS,12/15/2012,2:00 PM,Salem Middle School,THUNDERBOLTS / YELLOW JACKETS
Basketball Practice,KINGS,12/15/2012,3:00 PM,Salem Middle School,KINGS / BAZOOKAS
Basketball Practice,BAZOOKAS,12/15/2012,3:00 PM,Salem Middle School,KINGS / BAZOOKAS
Basketball Practice,JUGGERNAUTS,12/15/2012,4:00 PM,Salem Middle School,JUGGERNAUTS / MATADORS
Basketball Practice,MATADORS,12/15/2012,4:00 PM,Salem Middle School,JUGGERNAUTS / MATADORS
Basketball Practice,BEARS,12/31/2012,7:00 PM,Salem Middle School,BEARS / PYTHONS / YELLOW JACKETS / ZIPS
Basketball Practice,PYTHONS,12/31/2012,7:00 PM,Salem Middle School,BEARS / PYTHONS / YELLOW JACKETS / ZIPS
Basketball Practice,YELLOW JACKETS,12/31/2012,7:00 PM,Salem Middle School,BEARS / PYTHONS / YELLOW JACKETS / ZIPS
Basketball Practice,ZIPS,12/31/2012,7:00 PM,Salem Middle School,BEARS / PYTHONS / YELLOW JACKETS / ZIPS
Basketball Practice,BOBCATS,12/31/2012,8:00 PM,Salem Middle School,BOBCATS / VOLCANOS / JUGGERNAUTS / BISONS
Basketball Practice,VOLCANOS,12/31/2012,8:00 PM,Salem Middle School,BOBCATS / VOLCANOS / JUGGERNAUTS / BISONS
Basketball Practice,JUGGERNAUTS,12/31/2012,8:00 PM,Salem Middle School,BOBCATS / VOLCANOS / JUGGERNAUTS / BISONS
Basketball Practice,BISONS,1/30/2013,7:00 PM,Salem Middle School,MATADORS / YELLOW JAC / BUZZSAWS / BISONS
